iter	Logloss
0	0.65724261
1	0.6271929984
2	0.6015985632
3	0.5803753212
4	0.563861943
5	0.549407199
6	0.5372644398
7	0.5269495968
8	0.518967525
9	0.511321237
10	0.5053904178
11	0.4996575175
12	0.4947469103
13	0.490398706
14	0.4867029201
15	0.4833104077
16	0.4805141285
17	0.4781647183
18	0.4759294629
19	0.4738381727
20	0.4720072668
21	0.4703177439
22	0.4686260455
23	0.4673253184
24	0.4660272542
25	0.4648239906
26	0.4637318696
27	0.4626334466
28	0.4616695869
29	0.4606849751
30	0.4599579405
31	0.4591020617
32	0.4584521251
33	0.457635053
34	0.4569439544
35	0.4563309609
36	0.4557717671
37	0.4551515247
38	0.4545628355
39	0.4540152966
40	0.4534870262
41	0.4529499842
42	0.4525380616
43	0.4521248924
44	0.4516487338
45	0.4512507058
46	0.4508107832
47	0.4504565867
48	0.4500091745
49	0.4496401502
50	0.4491900438
51	0.4488335149
52	0.4484994992
53	0.4481994552
54	0.4479124348
55	0.447615475
56	0.4473131439
57	0.4470274811
58	0.4468265955
59	0.4465539511
60	0.4463214711
61	0.4461101157
62	0.4458626537
63	0.4455686119
64	0.4452985992
65	0.4451592588
66	0.4449706453
67	0.4447825255
68	0.4445524734
69	0.4443306771
70	0.4440847653
71	0.4438542841
72	0.4436264056
73	0.4433965984
74	0.4431584465
75	0.4429706307
76	0.4427773125
77	0.4425772936
78	0.4423553039
79	0.4421777072
80	0.4420362585
81	0.4419044474
82	0.4416929543
83	0.4415605006
84	0.4413496301
85	0.4411663412
86	0.4409958061
87	0.4408775921
88	0.4406745627
89	0.4405362034
90	0.4403839486
91	0.4402405156
92	0.4400953629
93	0.4399491361
94	0.4397758403
95	0.4395901028
96	0.4394796206
97	0.4393233982
98	0.439184288
99	0.4390567771
100	0.4389164861
101	0.4387791373
102	0.4386760788
103	0.4385709806
104	0.4384469101
105	0.4383195468
106	0.4381971048
107	0.4380957604
108	0.4379721396
109	0.4378607697
110	0.4377347915
111	0.4375919783
112	0.4375005809
113	0.4373685157
114	0.4372221517
115	0.4371363581
116	0.4370340133
117	0.4368874795
118	0.4367667442
119	0.4366450551
120	0.4364412909
121	0.4363193405
122	0.4362228118
123	0.4360758072
124	0.4359860519
125	0.4358908393
126	0.4357765833
127	0.4356944958
128	0.4356093799
129	0.4354899073
130	0.4353949414
131	0.4353235719
132	0.4351974009
133	0.4351121416
134	0.435014009
135	0.4349116863
136	0.4348052543
137	0.4347193041
138	0.4346190965
139	0.4345229731
140	0.4344251072
141	0.434306968
142	0.434172276
143	0.4340717921
144	0.4339730632
145	0.4338531013
146	0.4337194237
147	0.4335874654
148	0.4334874009
149	0.4333625771
150	0.4332745431
151	0.4331998266
152	0.4330462447
153	0.4329640273
154	0.4328538189
155	0.432736979
156	0.4326107784
157	0.432490058
158	0.432384691
159	0.4323157253
160	0.4322278748
161	0.4321092926
162	0.4320037403
163	0.4319129416
164	0.4318199919
165	0.4317107381
166	0.4316062955
167	0.4314973375
168	0.4314200058
169	0.4312710709
170	0.4312117838
171	0.4311115847
172	0.4310046356
173	0.4309139895
174	0.4308149648
175	0.4307489852
176	0.4306622525
177	0.4305688078
178	0.4304622211
179	0.4303776724
180	0.4302873544
181	0.4302040985
182	0.4301036938
183	0.4300120685
184	0.4299319342
185	0.4298386159
186	0.429750372
187	0.429660952
188	0.4295574641
189	0.4294644198
190	0.4293736572
191	0.4292573861
192	0.4291641026
193	0.4290803081
194	0.4289960492
195	0.428898825
196	0.4288263032
197	0.4287369589
198	0.428655458
199	0.4285783559
200	0.4285011351
201	0.4284117223
202	0.4283092536
203	0.4282342516
204	0.4281652878
205	0.4280523823
206	0.4279352959
207	0.4278323339
208	0.4277392002
209	0.427616068
210	0.427557442
211	0.4274749321
212	0.4273903908
213	0.4272931228
214	0.4272160669
215	0.4271241689
216	0.4270550526
217	0.4269789683
218	0.4269337613
219	0.4268672123
220	0.4267786311
221	0.426700485
222	0.4266233091
223	0.4265416228
224	0.4264505679
225	0.4263872848
226	0.4263117495
227	0.4262157464
228	0.4261393666
229	0.4260637609
230	0.425998226
231	0.4259337064
232	0.4259083429
233	0.4258657663
234	0.425803908
235	0.4257160994
236	0.4256066842
237	0.4255249631
238	0.4254594276
239	0.4253914444
240	0.4252838798
241	0.4252124394
242	0.4251063771
243	0.4250395777
244	0.4249533169
245	0.4248590125
246	0.4247890852
247	0.4247072713
248	0.4246350256
249	0.4245161819
250	0.42445555
251	0.424389326
252	0.4243038504
253	0.4242483495
254	0.4241874378
